week,new_cases_1,new_deaths_1
2020-03-02,1,0
2020-03-09,33,0
2020-03-16,197,2
2020-03-23,471,8
2020-03-30,783,25
2020-04-06,1291,74
2020-04-13,1016,70
2020-04-20,1587,65
2020-04-27,2289,96
2020-05-04,3395,123
2020-05-11,4511,111
2020-05-18,5601,153
2020-05-25,8208,212
2020-06-01,9853,320
2020-06-08,11703,408
2020-06-15,17713,570
2020-06-22,23117,941
2020-06-29,25341,886
2020-07-06,33335,1243
2020-07-13,46833,1429
2020-07-20,51698,1789
2020-07-27,68675,2125
2020-08-03,69830,2192
2020-08-10,80851,2255
2020-08-17,72807,2219
2020-08-24,66765,2047
2020-08-31,58617,2049
2020-09-07,49798,1512
2020-09-14,48757,1284
2020-09-21,47980,1280
2020-09-28,41996,1224
2020-10-05,56264,1122
2020-10-12,48256,1136
2020-10-19,56313,1184
2020-10-26,67436,1361
2020-11-02,60566,1276
2020-11-09,54859,1240
2020-11-16,49671,1256
2020-11-23,59959,1297
2020-11-30,62727,1224
2020-12-07,54671,1245
2020-12-14,81448,1422
2020-12-21,87275,1696
2020-12-28,81323,1794
2021-01-04,111080,2149
2021-01-11,121513,2517
2021-01-18,107072,2743
2021-01-25,79399,2609
2021-02-01,62332,2010
2021-02-08,37823,1612
2021-02-15,31223,1229
2021-02-22,25428,932
2021-03-01,24966,737
2021-03-08,26488,640
2021-03-15,34086,885
2021-03-22,45500,927
2021-03-29,63489,1139
2021-04-05,89979,1795
2021-04-12,116749,2439
2021-04-19,121517,3023
2021-04-26,119191,3126
2021-05-03,109103,3377
2021-05-10,115668,3446
2021-05-17,114030,3424
2021-05-24,150823,3558
2021-05-31,187788,3679
2021-06-07,182157,3817
2021-06-14,191942,4156
2021-06-21,213550,4744
2021-06-28,191779,4218
2021-07-05,161465,3930
2021-07-12,127506,3481
2021-07-19,88380,2561
2021-07-26,66568,2130
2021-08-02,44570,1460
2021-08-09,28777,1001
2021-08-16,21776,757
2021-08-23,15721,595
2021-08-30,13391,467
2021-09-06,11600,369
2021-09-13,10815,248
2021-09-20,10611,250
2021-09-27,10379,256
2021-10-04,10182,222
2021-10-11,9296,242
2021-10-18,9518,202
2021-10-25,11337,214
2021-11-01,12655,252
2021-11-08,16903,276
2021-11-15,16116,284
2021-11-22,17312,344
2021-11-29,15691,343
2021-12-06,12470,327
2021-12-13,13789,351
2021-12-20,17367,303
2021-12-27,56483,265
2022-01-03,149489,312
2022-01-10,213134,658
2022-01-17,196383,1244
2022-01-24,131798,1839
2022-01-31,94729,1678
2022-02-07,53389,1358
2022-02-14,26947,991
2022-02-21,15659,587
2022-02-28,9003,398
2022-03-07,5115,206
2022-03-14,4312,155
2022-03-21,2512,121
2022-03-28,2283,87
2022-04-04,2108,59
2022-04-11,1628,30
2022-04-18,1681,29
2022-04-25,1324,19
2022-05-02,978,12
2022-05-09,1671,12
2022-05-16,3795,12
2022-05-23,4344,21
2022-05-30,5650,13
2022-06-06,8742,27
2022-06-13,13810,24
2022-06-20,19697,52
2022-06-27,23827,100
2022-07-04,23667,132
2022-07-11,24649,163
2022-07-18,24137,238
2022-07-25,18164,242
2022-08-01,13200,230
2022-08-08,7394,212
2022-08-15,6738,119
2022-08-22,6465,113
2022-08-29,3214,127
2022-09-05,1508,62
2022-09-12,0,0
